"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 06:05:53 UTC 2022","Fri Apr 01 06:05:53 UTC 2022","92","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
"passed","Fri Apr 01 06:05:52 UTC 2022","Fri Apr 01 06:05:52 UTC 2022","182","","Shipping zones API tests","","Shipping zones API tests","can delete a shipping zone","can delete a shipping zone",""
"passed","Fri Apr 01 06:05:16 UTC 2022","Fri Apr 01 06:05:16 UTC 2022","557","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","pagination","pagination",""
"skipped","Fri Apr 01 06:05:22 UTC 2022","Fri Apr 01 06:05:22 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (asc)","popularity (asc)",""
"passed","Fri Apr 01 06:05:34 UTC 2022","Fri Apr 01 06:05:34 UTC 2022","108","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
"passed","Fri Apr 01 06:05:47 UTC 2022","Fri Apr 01 06:05:47 UTC 2022","146","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Fri Apr 01 06:05:44 UTC 2022","Fri Apr 01 06:05:44 UTC 2022","189","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create a pending order by default","can create a pending order by default",""
"passed","Fri Apr 01 06:05:56 UTC 2022","Fri Apr 01 06:05:56 UTC 2022","176","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Fri Apr 01 06:05:43 UTC 2022","Fri Apr 01 06:05:43 UTC 2022","126","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"passed","Fri Apr 01 06:05:22 UTC 2022","Fri Apr 01 06:05:22 UTC 2022","107","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","87","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Fri Apr 01 06:05:20 UTC 2022","Fri Apr 01 06:05:20 UTC 2022","255","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","id","id",""
"passed","Fri Apr 01 06:05:51 UTC 2022","Fri Apr 01 06:05:52 UTC 2022","85","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Fri Apr 01 06:05:42 UTC 2022","Fri Apr 01 06:05:42 UTC 2022","280","","Products API tests: CRUD","","Products API tests: CRUD","can add a variable product","can add a variable product",""
"passed","Fri Apr 01 06:05:41 UTC 2022","Fri Apr 01 06:05:41 UTC 2022","93","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Fri Apr 01 06:05:20 UTC 2022","Fri Apr 01 06:05:20 UTC 2022","142","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","default","default",""
"passed","Fri Apr 01 06:05:36 UTC 2022","Fri Apr 01 06:05:36 UTC 2022","240","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
